"Nome";"Ano";"Classificacao";"Duracao";"Nota";"Avaliaçoes"
"1. Um Sonho de Liberdade";"1994";"16";"2h 22m";"9,3";" (3 mi)"
"2. O Poderoso Chefão";"1972";"14";"2h 55m";"9,2";" (2,1 mi)"
"3. Batman: O Cavaleiro das Trevas";"2008";"12";"2h 32m";"9,0";" (3 mi)"
"4. O Poderoso Chefão: Parte II";"1974";"14";"3h 22m";"9,0";" (1,4 mi)"
"5. 12 Homens e uma Sentença";"1957";"0";"1h 36m";"9,0";" (927 mil)"
"6. O Senhor dos Anéis: O Retorno do Rei";"2003";"12";"3h 21m";"9,0";" (2,1 mi)"
"7. A Lista de Schindler";"1993";"14";"3h 15m";"9,0";" (1,5 mi)"
"8. Pulp Fiction: Tempo de Violência";"1994";"18";"2h 34m";"8,9";" (2,3 mi)"
"9. O Senhor dos Anéis: A Sociedade do Anel";"2001";"12";"2h 58m";"8,9";" (2,1 mi)"
"10. Três Homens em Conflito";"1966";"14";"2h 41m";"8,8";" (855 mil)"
"11. Forrest Gump: O Contador de Histórias";"1994";"14";"2h 22m";"8,8";" (2,4 mi)"
"12. O Senhor dos Anéis: As Duas Torres";"2002";"12";"2h 59m";"8,8";" (1,9 mi)"
"13. Clube da Luta";"1999";"18";"2h 19m";"8,8";" (2,5 mi)"
"14. A Origem";"2010";"14";"2h 28m";"8,8";" (2,7 mi)"
"15. Star Wars: Episódio V - O Império Contra-Ataca";"1980";"0";"2h 4m";"8,7";" (1,4 mi)"
"16. Matrix";"1999";"14";"2h 16m";"8,7";" (2,2 mi)"
"17. Os Bons Companheiros";"1990";"14";"2h 25m";"8,7";" (1,3 mi)"
"18. Interestelar";"2014";"10";"2h 49m";"8,7";" (2,3 mi)"
"19. Um Estranho no Ninho";"1975";"16";"2h 13m";"8,7";" (1,1 mi)"
"20. Seven - Os Sete Crimes Capitais";"1995";"14";"2h 7m";"8,6";" (1,9 mi)"
"21. A Felicidade Não se Compra";"1946";"0";"2h 10m";"8,6";" (528 mil)"
"22. O Silêncio dos Inocentes";"1991";"14";"1h 58m";"8,6";" (1,6 mi)"
"23. Os Sete Samurais";"1954";"10";"3h 27m";"8,6";" (385 mil)"
"24. O Resgate do Soldado Ryan";"1998";"14";"2h 49m";"8,6";" (1,6 mi)"
"25. Cidade de Deus";"2002";"18";"2h 10m";"8,6";" (838 mil)"
"26. À Espera de um Milagre";"1999";"18";"3h 9m";"8,6";" (1,5 mi)"
"27. A Vida é Bela";"1997";"0";"1h 56m";"8,6";" (779 mil)"
"28. O Exterminador do Futuro 2: O Julgamento Final";"1991";"14";"2h 17m";"8,6";" (1,2 mi)"
"29. Star Wars: Episódio IV - Uma Nova Esperança";"1977";"10";"2h 1m";"8,6";" (1,5 mi)"
"30. De Volta para o Futuro";"1985";"0";"1h 56m";"8,5";" (1,4 mi)"
"31. A Viagem de Chihiro";"2001";"0";"2h 4m";"8,6";" (912 mil)"
"32. O Pianista";"2002";"14";"2h 30m";"8,5";" (969 mil)"
"33. Gladiador";"2000";"14";"2h 35m";"8,5";" (1,8 mi)"
"34. Parasita";"2019";"16";"2h 12m";"8,5";" (1,1 mi)"
"35. Psicose";"1960";"14";"1h 49m";"8,5";" (753 mil)"
"36. O Rei Leão";"1994";"0";"1h 28m";"8,5";" (1,2 mi)"
"37. Túmulo dos Vagalumes";"1988";"12";"1h 28m";"8,5";" (350 mil)"
"38. Os Infiltrados";"2006";"18";"2h 31m";"8,5";" (1,5 mi)"
"39. Whiplash: Em Busca da Perfeição";"2014";"12";"1h 46m";"8,5";" (1,1 mi)"
"40. Harakiri";"1962";"16";"2h 13m";"8,6";" (80 mil)"
"41. O Grande Truque";"2006";"14";"2h 10m";"8,5";" (1,5 mi)"
"42. A Outra História Americana";"1998";"16";"1h 59m";"8,5";" (1,2 mi)"
"43. O Profissional";"1994";"14";"1h 50m";"8,5";" (1,3 mi)"
"44. Homem-Aranha: Através do Aranhaverso";"2023";"10";"2h 20m";"8,5";" (457 mil)"
"45. Casablanca";"1942";"0";"1h 42m";"8,5";" (632 mil)"
"46. Os Suspeitos";"1995";"14";"1h 46m";"8,5";" (1,2 mi)"
"47. Intocáveis";"2011";"14";"1h 52m";"8,5";" (980 mil)"
"48. Cinema Paradiso";"1988";"10";"2h 54m";"8,5";" (302 mil)"
"49. Alien - O 8º Passageiro";"1979";"14";"1h 57m";"8,5";" (1 mi)"
"50. Tempos Modernos";"1936";"0";"1h 27m";"8,5";" (273 mil)"
"51. Janela Indiscreta";"1954";"12";"1h 52m";"8,5";" (547 mil)"
"52. Era uma Vez no Oeste";"1968";"14";"2h 46m";"8,5";" (369 mil)"
"53. Django Livre";"2012";"16";"2h 45m";"8,5";" (1,8 mi)"
"54. Luzes da Cidade";"1931";"0";"1h 27m";"8,5";" (207 mil)"
"55. Apocalypse Now";"1979";"16";"2h 27m";"8,4";" (743 mil)"
"56. Duna: Parte 2";"2024";"14";"2h 46m";"8,5";" (634 mil)"
"57. WALL·E";"2008";"0";"1h 38m";"8,4";" (1,3 mi)"
"58. Amnésia";"2000";"16";"1h 53m";"8,4";" (1,4 mi)"
"59. Os Caçadores da Arca Perdida";"1981";"0";"1h 55m";"8,4";" (1,1 mi)"
"60. A Vida dos Outros";"2006";"12";"2h 17m";"8,4";" (428 mil)"
"61. Vingadores: Guerra Infinita";"2018";"12";"2h 29m";"8,4";" (1,3 mi)"
"62. Crepúsculo dos Deuses";"1950";"0";"1h 50m";"8,4";" (249 mil)"
"63. Homem-Aranha: No Aranhaverso";"2018";"10";"1h 57m";"8,4";" (733 mil)"
"64. Testemunha de Acusação";"1957";"12";"1h 56m";"8,4";" (150 mil)"
"65. Glória Feita de Sangue";"1957";"14";"1h 28m";"8,4";" (226 mil)"
"66. O Iluminado";"1980";"16";"2h 26m";"8,4";" (1,2 mi)"
"67. O Grande Ditador";"1940";"0";"2h 5m";"8,4";" (249 mil)"
"68. Repetente";"2023";"10";"2h 27m";"8,7";" (148 mil)"
"69. Bastardos Inglórios";"2009";"18";"2h 33m";"8,4";" (1,7 mi)"
"70. Aliens: O Resgate";"1986";"14";"2h 17m";"8,4";" (810 mil)"
"71. Batman: O Cavaleiro das Trevas Ressurge";"2012";"12";"2h 44m";"8,4";" (1,9 mi)"
"72. Viva: A Vida é uma Festa";"2017";"0";"1h 45m";"8,4";" (651 mil)"
"73. Amadeus";"1984";"0";"2h 40m";"8,4";" (449 mil)"
"74. Toy Story";"1995";"0";"1h 21m";"8,3";" (1,1 mi)"
"75. Vingadores: Ultimato";"2019";"12";"3h 1m";"8,4";" (1,4 mi)"
"76. Gênio Indomável";"1997";"14";"2h 6m";"8,3";" (1,1 mi)"
"77. Oldboy";"2003";"16";"2h";"8,3";" (680 mil)"
"78. Dr. Fantástico";"1964";"10";"1h 35m";"8,3";" (538 mil)"
"79. O Barco: Inferno no Mar";"1981";"14";"2h 29m";"8,4";" (280 mil)"
"80. Coração Valente";"1995";"16";"2h 58m";"8,3";" (1,1 mi)"
"81. Beleza Americana";"1999";"14";"2h 2m";"8,3";" (1,2 mi)"
"82. Princesa Mononoke";"1997";"12";"2h 13m";"8,3";" (461 mil)"
"83. Céu e Inferno";"1963";"0";"2h 23m";"8,4";" (61 mil)"
"84. Your Name";"2016";"0";"1h 46m";"8,4";" (358 mil)"
"85. 3 Idiotas";"2009";"12";"2h 50m";"8,4";" (459 mil)"
"86. Coringa";"2019";"16";"2h 2m";"8,3";" (1,6 mi)"
"87. Era uma Vez na América";"1984";"18";"3h 49m";"8,3";" (396 mil)"
"88. Cafarnaum";"2018";"16";"2h 6m";"8,4";" (116 mil)"
"89. Cantando na Chuva";"1952";"0";"1h 43m";"8,3";" (273 mil)"
"90. Vá e Veja";"1985";"18";"2h 22m";"8,3";" (112 mil)"
"91. Réquiem para um Sonho";"2000";"18";"1h 42m";"8,3";" (940 mil)"
"92. Star Wars: Episódio VI - O Retorno de Jedi";"1983";"0";"2h 11m";"8,3";" (1,2 mi)"
