"Nome";"Ano";"Classificacao";"Duracao";"Nota";"Avaliaçoes";"Numero";"DuracaoN";"AvaliaçoesN"
"Um Sonho de Liberdade";"1994";"16";"2h 22m";"9.3";" (3 mi)";"1";"142";"3000000.0"
"O Poderoso Chefão";"1972";"14";"2h 55m";"9.2";" (2,1 mi)";"2";"175";"2100000.0"
"Batman: O Cavaleiro das Trevas";"2008";"12";"2h 32m";"9.0";" (3 mi)";"3";"152";"3000000.0"
"O Poderoso Chefão: Parte II";"1974";"14";"3h 22m";"9.0";" (1,4 mi)";"4";"202";"1400000.0"
"12 Homens e uma Sentença";"1957";"0";"1h 36m";"9.0";" (927 mil)";"5";"96";"927000.0"
"O Senhor dos Anéis: O Retorno do Rei";"2003";"12";"3h 21m";"9.0";" (2,1 mi)";"6";"201";"2100000.0"
"A Lista de Schindler";"1993";"14";"3h 15m";"9.0";" (1,5 mi)";"7";"195";"1500000.0"
"Pulp Fiction: Tempo de Violência";"1994";"18";"2h 34m";"8.9";" (2,3 mi)";"8";"154";"2300000.0"
"O Senhor dos Anéis: A Sociedade do Anel";"2001";"12";"2h 58m";"8.9";" (2,1 mi)";"9";"178";"2100000.0"
"Três Homens em Conflito";"1966";"14";"2h 41m";"8.8";" (855 mil)";"10";"161";"855000.0"
"Forrest Gump: O Contador de Histórias";"1994";"14";"2h 22m";"8.8";" (2,4 mi)";"11";"142";"2400000.0"
"O Senhor dos Anéis: As Duas Torres";"2002";"12";"2h 59m";"8.8";" (1,9 mi)";"12";"179";"1900000.0"
"Clube da Luta";"1999";"18";"2h 19m";"8.8";" (2,5 mi)";"13";"139";"2500000.0"
"A Origem";"2010";"14";"2h 28m";"8.8";" (2,7 mi)";"14";"148";"2700000.0"
"Star Wars: Episódio V - O Império Contra-Ataca";"1980";"0";"2h 4m";"8.7";" (1,4 mi)";"15";"124";"1400000.0"
"Matrix";"1999";"14";"2h 16m";"8.7";" (2,2 mi)";"16";"136";"2200000.0"
"Os Bons Companheiros";"1990";"14";"2h 25m";"8.7";" (1,3 mi)";"17";"145";"1300000.0"
"Interestelar";"2014";"10";"2h 49m";"8.7";" (2,3 mi)";"18";"169";"2300000.0"
"Um Estranho no Ninho";"1975";"16";"2h 13m";"8.7";" (1,1 mi)";"19";"133";"1100000.0"
"Seven - Os Sete Crimes Capitais";"1995";"14";"2h 7m";"8.6";" (1,9 mi)";"20";"127";"1900000.0"
"A Felicidade Não se Compra";"1946";"0";"2h 10m";"8.6";" (528 mil)";"21";"130";"528000.0"
"O Silêncio dos Inocentes";"1991";"14";"1h 58m";"8.6";" (1,6 mi)";"22";"118";"1600000.0"
"Os Sete Samurais";"1954";"10";"3h 27m";"8.6";" (385 mil)";"23";"207";"385000.0"
"O Resgate do Soldado Ryan";"1998";"14";"2h 49m";"8.6";" (1,6 mi)";"24";"169";"1600000.0"
"Cidade de Deus";"2002";"18";"2h 10m";"8.6";" (838 mil)";"25";"130";"838000.0"
"À Espera de um Milagre";"1999";"18";"3h 9m";"8.6";" (1,5 mi)";"26";"189";"1500000.0"
"A Vida é Bela";"1997";"0";"1h 56m";"8.6";" (779 mil)";"27";"116";"779000.0"
"O Exterminador do Futuro 2: O Julgamento Final";"1991";"14";"2h 17m";"8.6";" (1,2 mi)";"28";"137";"1200000.0"
"Star Wars: Episódio IV - Uma Nova Esperança";"1977";"10";"2h 1m";"8.6";" (1,5 mi)";"29";"121";"1500000.0"
"De Volta para o Futuro";"1985";"0";"1h 56m";"8.5";" (1,4 mi)";"30";"116";"1400000.0"
"A Viagem de Chihiro";"2001";"0";"2h 4m";"8.6";" (912 mil)";"31";"124";"912000.0"
"O Pianista";"2002";"14";"2h 30m";"8.5";" (969 mil)";"32";"150";"969000.0"
"Gladiador";"2000";"14";"2h 35m";"8.5";" (1,8 mi)";"33";"155";"1800000.0"
"Parasita";"2019";"16";"2h 12m";"8.5";" (1,1 mi)";"34";"132";"1100000.0"
"Psicose";"1960";"14";"1h 49m";"8.5";" (753 mil)";"35";"109";"753000.0"
"O Rei Leão";"1994";"0";"1h 28m";"8.5";" (1,2 mi)";"36";"88";"1200000.0"
"Túmulo dos Vagalumes";"1988";"12";"1h 28m";"8.5";" (350 mil)";"37";"88";"350000.0"
"Os Infiltrados";"2006";"18";"2h 31m";"8.5";" (1,5 mi)";"38";"151";"1500000.0"
"Whiplash: Em Busca da Perfeição";"2014";"12";"1h 46m";"8.5";" (1,1 mi)";"39";"106";"1100000.0"
"Harakiri";"1962";"16";"2h 13m";"8.6";" (80 mil)";"40";"133";"80000.0"
"O Grande Truque";"2006";"14";"2h 10m";"8.5";" (1,5 mi)";"41";"130";"1500000.0"
"A Outra História Americana";"1998";"16";"1h 59m";"8.5";" (1,2 mi)";"42";"119";"1200000.0"
"O Profissional";"1994";"14";"1h 50m";"8.5";" (1,3 mi)";"43";"110";"1300000.0"
"Homem-Aranha: Através do Aranhaverso";"2023";"10";"2h 20m";"8.5";" (457 mil)";"44";"140";"457000.0"
"Casablanca";"1942";"0";"1h 42m";"8.5";" (632 mil)";"45";"102";"632000.0"
"Os Suspeitos";"1995";"14";"1h 46m";"8.5";" (1,2 mi)";"46";"106";"1200000.0"
"Intocáveis";"2011";"14";"1h 52m";"8.5";" (980 mil)";"47";"112";"980000.0"
"Cinema Paradiso";"1988";"10";"2h 54m";"8.5";" (302 mil)";"48";"174";"302000.0"
"Alien - O 8º Passageiro";"1979";"14";"1h 57m";"8.5";" (1 mi)";"49";"117";"1000000.0"
"Tempos Modernos";"1936";"0";"1h 27m";"8.5";" (273 mil)";"50";"87";"273000.0"
"Janela Indiscreta";"1954";"12";"1h 52m";"8.5";" (547 mil)";"51";"112";"547000.0"
"Era uma Vez no Oeste";"1968";"14";"2h 46m";"8.5";" (369 mil)";"52";"166";"369000.0"
"Django Livre";"2012";"16";"2h 45m";"8.5";" (1,8 mi)";"53";"165";"1800000.0"
"Luzes da Cidade";"1931";"0";"1h 27m";"8.5";" (207 mil)";"54";"87";"207000.0"
"Apocalypse Now";"1979";"16";"2h 27m";"8.4";" (743 mil)";"55";"147";"743000.0"
"Duna: Parte 2";"2024";"14";"2h 46m";"8.5";" (634 mil)";"56";"166";"634000.0"
"WALL·E";"2008";"0";"1h 38m";"8.4";" (1,3 mi)";"57";"98";"1300000.0"
"Amnésia";"2000";"16";"1h 53m";"8.4";" (1,4 mi)";"58";"113";"1400000.0"
"Os Caçadores da Arca Perdida";"1981";"0";"1h 55m";"8.4";" (1,1 mi)";"59";"115";"1100000.0"
"A Vida dos Outros";"2006";"12";"2h 17m";"8.4";" (428 mil)";"60";"137";"428000.0"
"Vingadores: Guerra Infinita";"2018";"12";"2h 29m";"8.4";" (1,3 mi)";"61";"149";"1300000.0"
"Crepúsculo dos Deuses";"1950";"0";"1h 50m";"8.4";" (249 mil)";"62";"110";"249000.0"
"Homem-Aranha: No Aranhaverso";"2018";"10";"1h 57m";"8.4";" (733 mil)";"63";"117";"733000.0"
"Testemunha de Acusação";"1957";"12";"1h 56m";"8.4";" (150 mil)";"64";"116";"150000.0"
"Glória Feita de Sangue";"1957";"14";"1h 28m";"8.4";" (226 mil)";"65";"88";"226000.0"
"O Iluminado";"1980";"16";"2h 26m";"8.4";" (1,2 mi)";"66";"146";"1200000.0"
"O Grande Ditador";"1940";"0";"2h 5m";"8.4";" (249 mil)";"67";"125";"249000.0"
"Repetente";"2023";"10";"2h 27m";"8.7";" (148 mil)";"68";"147";"148000.0"
"Bastardos Inglórios";"2009";"18";"2h 33m";"8.4";" (1,7 mi)";"69";"153";"1700000.0"
"Aliens: O Resgate";"1986";"14";"2h 17m";"8.4";" (810 mil)";"70";"137";"810000.0"
"Batman: O Cavaleiro das Trevas Ressurge";"2012";"12";"2h 44m";"8.4";" (1,9 mi)";"71";"164";"1900000.0"
"Viva: A Vida é uma Festa";"2017";"0";"1h 45m";"8.4";" (651 mil)";"72";"105";"651000.0"
"Amadeus";"1984";"0";"2h 40m";"8.4";" (449 mil)";"73";"160";"449000.0"
"Toy Story";"1995";"0";"1h 21m";"8.3";" (1,1 mi)";"74";"81";"1100000.0"
"Vingadores: Ultimato";"2019";"12";"3h 1m";"8.4";" (1,4 mi)";"75";"181";"1400000.0"
"Gênio Indomável";"1997";"14";"2h 6m";"8.3";" (1,1 mi)";"76";"126";"1100000.0"
"Oldboy";"2003";"16";"2h";"8.3";" (680 mil)";"77";"120";"680000.0"
"Dr. Fantástico";"1964";"10";"1h 35m";"8.3";" (538 mil)";"78";"95";"538000.0"
"O Barco: Inferno no Mar";"1981";"14";"2h 29m";"8.4";" (280 mil)";"79";"149";"280000.0"
"Coração Valente";"1995";"16";"2h 58m";"8.3";" (1,1 mi)";"80";"178";"1100000.0"
"Beleza Americana";"1999";"14";"2h 2m";"8.3";" (1,2 mi)";"81";"122";"1200000.0"
"Princesa Mononoke";"1997";"12";"2h 13m";"8.3";" (461 mil)";"82";"133";"461000.0"
"Céu e Inferno";"1963";"0";"2h 23m";"8.4";" (61 mil)";"83";"143";"61000.0"
"Your Name";"2016";"0";"1h 46m";"8.4";" (358 mil)";"84";"106";"358000.0"
"3 Idiotas";"2009";"12";"2h 50m";"8.4";" (459 mil)";"85";"170";"459000.0"
"Coringa";"2019";"16";"2h 2m";"8.3";" (1,6 mi)";"86";"122";"1600000.0"
"Era uma Vez na América";"1984";"18";"3h 49m";"8.3";" (396 mil)";"87";"229";"396000.0"
"Cafarnaum";"2018";"16";"2h 6m";"8.4";" (116 mil)";"88";"126";"116000.0"
"Cantando na Chuva";"1952";"0";"1h 43m";"8.3";" (273 mil)";"89";"103";"273000.0"
"Vá e Veja";"1985";"18";"2h 22m";"8.3";" (112 mil)";"90";"142";"112000.0"
"Réquiem para um Sonho";"2000";"18";"1h 42m";"8.3";" (940 mil)";"91";"102";"940000.0"
"Star Wars: Episódio VI - O Retorno de Jedi";"1983";"0";"2h 11m";"8.3";" (1,2 mi)";"92";"131";"1200000.0"
"Toy Story 3";"2010";"0";"1h 43m";"8.3";" (933 mil)";"93";"103";"933000.0"
"A Caça";"2012";"14";"1h 55m";"8.3";" (389 mil)";"94";"115";"389000.0"
"Viver";"1952";"0";"2h 23m";"8.3";" (97 mil)";"95";"143";"97000.0"
"Hababam Sinifi Sinifta Kaldi";"1975";"0";"1h 35m";"8.7";" (27 mil)";"96";"95";"27000.0"
"Brilho Eterno de uma Mente sem Lembranças";"2004";"14";"1h 48m";"8.3";" (1,1 mi)";"97";"108";"1100000.0"
"2001: Uma Odisséia no Espaço";"1968";"0";"2h 29m";"8.3";" (754 mil)";"98";"149";"754000.0"
"Incêndios";"2010";"14";"2h 11m";"8.3";" (228 mil)";"99";"131";"228000.0"
"Cães de Aluguel";"1992";"18";"1h 39m";"8.3";" (1,1 mi)";"100";"99";"1100000.0"
